title,unadjusted gross ($m),inflation adjusted gross ($m),% budget recovered,x times budget recovered,budget  (m),domestic gross (m),domestic %,international gross (m),% of gross from international,worldwide gross,year,decade,source,budget source,force label
300,456,671,702%,7,65,211,46.20%,245,53.80%,"456,082,343",2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=468,,
1917,385,455,427%,4.3,90,159,41.40%,225,58.60%,"384,576,334",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=549,"https://www.nytimes.com/2020/01/12/movies/1917-box-office-no-1.html#:~:text=Directed%20by%20Sam%20Mendes%20and,make%2C%20not%20including%20marketing%20expenses.",
2012,791,"1,116",396%,4,200,166,21.00%,625,79.00%,"791,217,826",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=299,,
101 Dalmatians,321,618,479%,4.8,67,136,42.50%,185,57.50%,"320,689,294",1996,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=678,"https://en.wikipedia.org/wiki/101_Dalmatians_(1996_film)#:~:text=101%20Dalmatians%20was%20released%20on,highest%2Dgrossing%20film%20of%201996.",
22 Jump Street,331,422,663%,6.6,50,192,57.90%,140,42.10%,"331,333,876",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=657,,
300: Rise of an Empire,338,430,307%,3.1,110,107,31.60%,231,68.40%,"337,580,051",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=642,,
A Beautiful Mind,317,539,546%,5.5,58,171,53.90%,146,46.10%,"316,791,257",2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=684,https://en.wikipedia.org/wiki/A_Beautiful_Mind_(film),
A Bug's Life,363,669,303%,3,120,163,44.80%,200,55.20%,"363,258,859",1998,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=589,https://en.wikipedia.org/wiki/A_Bug%27s_Life,
A Christmas Carol,325,459,163%,1.6,200,138,42.40%,187,57.60%,"325,286,646",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=669,,
A Quiet Place,341,410,2006%,20.1,17,188,55.20%,153,44.80%,"340,952,971",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=639,,
A Star Is Born,436,524,1212%,12.1,36,215,49.40%,221,50.60%,"436,233,122",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=486,,
Air Force One,315,590,371%,3.7,85,173,54.90%,142,45.10%,"315,156,409",1997,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=687,https://en.wikipedia.org/wiki/Air_Force_One_(film),
Aladdin,1051,"1,243",574%,5.7,183,356,33.80%,695,66.20%,"1,050,693,953",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=240,,
Aladdin,504,"1,087",1800%,18,28,217,43.10%,287,56.90%,"504,050,219",1992,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=426,https://en.wikipedia.org/wiki/Aladdin_(1992_Disney_film),
Alice in Wonderland,1025,"1,409",513%,5.1,200,334,32.60%,691,67.40%,"1,025,468,216",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=246,,
Alita: Battle Angel,405,479,238%,2.4,170,86,21.20%,319,78.80%,"404,980,543",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=524,,
Alvin & the Chipmunks,365,537,522%,5.2,70,217,59.50%,148,40.50%,"365,352,546",2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=586,,
Alvin & the Chipmunks: Chipwrecked,343,463,428%,4.3,80,133,38.80%,210,61.20%,"342,695,435",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=636,https://en.wikipedia.org/wiki/Alvin_and_the_Chipmunks:_Chipwrecked,
Alvin & the Chipmunks: The Squeakquel,443,625,591%,5.9,75,220,49.60%,224,50.40%,"443,140,005",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=480,,
American Beauty,356,646,2375%,23.8,15,130,36.50%,226,63.50%,"356,296,601",1999,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=605,"https://en.wikipedia.org/wiki/American_Beauty_(1999_film)#:~:text=It%20was%20the%20second%2Dbest,against%20its%20%2415%2Dmillion%20budget.",
American Sniper,547,697,928%,9.3,59,350,64.00%,197,36.00%,"547,459,020",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=397,,
Angels & Demons,486,685,324%,3.2,150,133,27.40%,353,72.60%,"485,930,816",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=438,,
Ant-Man,519,662,399%,4,130,180,34.70%,339,65.30%,"519,311,965",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=422,,
Ant-Man & the Wasp,623,748,319%,3.2,195,217,34.80%,406,65.20%,"622,674,139",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=365,,
