,% budget recovered,% of gross from domestic,% of gross from international,budget (m),decade,domestic gross (m),international gross (m),title,worldwide gross,worldwide gross (m),x times budget recovered,year
0,702%,46.2%,53.8%,65.0,2000's,211,245,300,"456,082,343",456.0,7.0,2007
1,427%,41.4%,58.6%,90.0,2010's,159,225,1917,"384,576,334",385.0,4.3,2019
2,396%,21.0%,79.0%,200.0,2000's,166,625,2012,"791,217,826",791.0,4.0,2009
3,479%,42.5%,57.5%,67.0,1990's,136,185,101 Dalmatians,"320,689,294",321.0,4.8,1996
4,663%,57.9%,42.1%,50.0,2010's,192,140,22 Jump Street,"331,333,876",331.0,6.6,2014
5,307%,31.6%,68.4%,110.0,2010's,107,231,300: Rise of an Empire,"337,580,051",338.0,3.1,2014
6,546%,53.9%,46.1%,58.0,2000's,171,146,A Beautiful Mind,"316,791,257",317.0,5.5,2001
7,303%,44.8%,55.2%,120.0,1990's,163,200,A Bug's Life,"363,258,859",363.0,3.0,1998
8,163%,42.4%,57.6%,200.0,2000's,138,187,A Christmas Carol,"325,286,646",325.0,1.6,2009
9,2406%,66.6%,33.4%,2.5,2010's,40,201,A Haunted House,"60,141,683",60.0,24.1,2013
10,2006%,55.2%,44.8%,17.0,2010's,188,153,A Quiet Place,"340,952,971",341.0,20.1,2018
11,1212%,49.4%,50.6%,36.0,2010's,215,221,A Star Is Born,"436,233,122",436.0,12.1,2018
12,371%,54.9%,45.1%,85.0,1990's,173,142,Air Force One,"315,156,409",315.0,3.7,1997
13,574%,33.8%,66.2%,183.0,2010's,356,695,Aladdin,"1,050,693,953",1051.0,5.7,2019
14,1800%,43.1%,56.9%,28.0,1990's,217,287,Aladdin,"504,050,219",504.0,18.0,1992
15,513%,32.6%,67.4%,200.0,2010's,334,691,Alice in Wonderland,"1,025,468,216",1025.0,5.1,2010
16,238%,21.2%,78.8%,170.0,2010's,86,319,Alita: Battle Angel,"404,980,543",405.0,2.4,2019
17,591%,49.6%,50.4%,75.0,2000's,220,224,Alvin & the Chipmunks: The Squeakquel,"443,140,005",443.0,5.9,2009
18,522%,59.5%,40.5%,70.0,2000's,217,148,Alvin and the Chipmunks,"365,352,546",365.0,5.2,2007
