,rating,title,genres,genres.1,genres.2,% budget recovered,% of gross from domestic,% of gross from international,budget (m),decade,domestic gross (m),international gross (m),worldwide gross,worldwide gross (m),x times budget recovered,year
78928,2.0,The Jungle Book (2016),Adventure,Drama,Fantasy,546%,37.7%,62.3%,177.0,2010's,364.0,603.0,"966,554,929",967.0,5.5,2016.0
78929,3.0,The Jungle Book (2016),Adventure,Drama,Fantasy,546%,37.7%,62.3%,177.0,2010's,364.0,603.0,"966,554,929",967.0,5.5,2016.0
78930,3.5,The Jungle Book (2016),Adventure,Drama,Fantasy,546%,37.7%,62.3%,177.0,2010's,364.0,603.0,"966,554,929",967.0,5.5,2016.0
78931,4.5,The Jungle Book (2016),Adventure,Drama,Fantasy,546%,37.7%,62.3%,177.0,2010's,364.0,603.0,"966,554,929",967.0,5.5,2016.0
78932,3.5,The Jungle Book (2016),Adventure,Drama,Fantasy,546%,37.7%,62.3%,177.0,2010's,364.0,603.0,"966,554,929",967.0,5.5,2016.0
78933,3.5,The Jungle Book (2016),Adventure,Drama,Fantasy,546%,37.7%,62.3%,177.0,2010's,364.0,603.0,"966,554,929",967.0,5.5,2016.0
78934,4.0,The Jungle Book (2016),Adventure,Drama,Fantasy,546%,37.7%,62.3%,177.0,2010's,364.0,603.0,"966,554,929",967.0,5.5,2016.0
78935,4.0,The Jungle Book (2016),Adventure,Drama,Fantasy,546%,37.7%,62.3%,177.0,2010's,364.0,603.0,"966,554,929",967.0,5.5,2016.0
78936,3.0,The Jungle Book (2016),Adventure,Drama,Fantasy,546%,37.7%,62.3%,177.0,2010's,364.0,603.0,"966,554,929",967.0,5.5,2016.0
78937,5.0,The Jungle Book (2016),Adventure,Drama,Fantasy,546%,37.7%,62.3%,177.0,2010's,364.0,603.0,"966,554,929",967.0,5.5,2016.0
78938,4.0,The Jungle Book (2016),Adventure,Drama,Fantasy,546%,37.7%,62.3%,177.0,2010's,364.0,603.0,"966,554,929",967.0,5.5,2016.0
93459,3.5,Ready Player One,Action,Sci-Fi,Thriller,333%,23.6%,76.4%,175.0,2010's,138.0,445.0,"582,918,849",583.0,3.3,2018.0
93460,4.5,Ready Player One,Action,Sci-Fi,Thriller,333%,23.6%,76.4%,175.0,2010's,138.0,445.0,"582,918,849",583.0,3.3,2018.0
93461,3.0,Ready Player One,Action,Sci-Fi,Thriller,333%,23.6%,76.4%,175.0,2010's,138.0,445.0,"582,918,849",583.0,3.3,2018.0
93462,3.0,Ready Player One,Action,Sci-Fi,Thriller,333%,23.6%,76.4%,175.0,2010's,138.0,445.0,"582,918,849",583.0,3.3,2018.0
100836,,300,,,,702%,46.2%,53.8%,65.0,2000's,211.0,245.0,"456,082,343",456.0,7.0,2007.0
100837,,1917,,,,427%,41.4%,58.6%,90.0,2010's,159.0,225.0,"384,576,334",385.0,4.3,2019.0
100838,,2012,,,,396%,21.0%,79.0%,200.0,2000's,166.0,625.0,"791,217,826",791.0,4.0,2009.0
100839,,101 Dalmatians,,,,479%,42.5%,57.5%,67.0,1990's,136.0,185.0,"320,689,294",321.0,4.8,1996.0
100840,,22 Jump Street,,,,663%,57.9%,42.1%,50.0,2010's,192.0,140.0,"331,333,876",331.0,6.6,2014.0
100841,,300: Rise of an Empire,,,,307%,31.6%,68.4%,110.0,2010's,107.0,231.0,"337,580,051",338.0,3.1,2014.0
100842,,A Beautiful Mind,,,,546%,53.9%,46.1%,58.0,2000's,171.0,146.0,"316,791,257",317.0,5.5,2001.0
100843,,A Bug's Life,,,,303%,44.8%,55.2%,120.0,1990's,163.0,200.0,"363,258,859",363.0,3.0,1998.0
100844,,A Christmas Carol,,,,163%,42.4%,57.6%,200.0,2000's,138.0,187.0,"325,286,646",325.0,1.6,2009.0
100845,,A Haunted House,,,,2406%,66.6%,33.4%,2.5,2010's,40.0,201.0,"60,141,683",60.0,24.1,2013.0
100846,,A Quiet Place,,,,2006%,55.2%,44.8%,17.0,2010's,188.0,153.0,"340,952,971",341.0,20.1,2018.0
100847,,A Star Is Born,,,,1212%,49.4%,50.6%,36.0,2010's,215.0,221.0,"436,233,122",436.0,12.1,2018.0
100848,,Air Force One,,,,371%,54.9%,45.1%,85.0,1990's,173.0,142.0,"315,156,409",315.0,3.7,1997.0
100849,,Aladdin,,,,574%,33.8%,66.2%,183.0,2010's,356.0,695.0,"1,050,693,953",1051.0,5.7,2019.0
100850,,Aladdin,,,,1800%,43.1%,56.9%,28.0,1990's,217.0,287.0,"504,050,219",504.0,18.0,1992.0
100851,,Alice in Wonderland,,,,513%,32.6%,67.4%,200.0,2010's,334.0,691.0,"1,025,468,216",1025.0,5.1,2010.0
100852,,Alita: Battle Angel,,,,238%,21.2%,78.8%,170.0,2010's,86.0,319.0,"404,980,543",405.0,2.4,2019.0
100853,,Alvin & the Chipmunks: The Squeakquel,,,,591%,49.6%,50.4%,75.0,2000's,220.0,224.0,"443,140,005",443.0,5.9,2009.0
100854,,Alvin and the Chipmunks,,,,522%,59.5%,40.5%,70.0,2000's,217.0,148.0,"365,352,546",365.0,5.2,2007.0
100855,,Alvin and the Chipmunks: Chipwrecked,,,,428%,38.8%,61.2%,80.0,2010's,133.0,210.0,"342,695,435",343.0,4.3,2011.0
100856,,American Beauty,,,,2375%,36.5%,63.5%,15.0,1990's,130.0,226.0,"356,296,601",356.0,23.8,1999.0
100857,,American Sniper,,,,928%,64.0%,36.0%,59.0,2010's,350.0,197.0,"547,459,020",547.0,9.3,2014.0
100858,,Angels & Demons,,,,324%,27.4%,72.6%,150.0,2000's,133.0,353.0,"485,930,816",486.0,3.2,2009.0
100859,,Annabelle,,,,3927%,33.0%,67.0%,6.5,2010's,84.0,1710.0,"255,273,813",255.0,39.3,2014.0
100860,,Annabelle: Creation,,,,2039%,33.4%,66.6%,15.0,2010's,102.0,2037.0,"305,792,201",306.0,20.4,2017.0
100861,,Ant-Man,,,,399%,34.7%,65.3%,130.0,2010's,180.0,339.0,"519,311,965",519.0,4.0,2015.0
100862,,Ant-Man and the Wasp,,,,319%,34.8%,65.2%,195.0,2010's,217.0,406.0,"622,674,139",623.0,3.2,2018.0
100863,,Apollo 13,,,,683%,48.9%,51.1%,52.0,1990's,174.0,181.0,"355,237,933",355.0,6.8,1995.0
100864,,Aquaman,,,,718%,29.2%,70.8%,160.0,2010's,335.0,813.0,"1,148,528,393",1149.0,7.2,2018.0
100865,,Armageddon,,,,396%,36.4%,63.6%,140.0,1990's,202.0,352.0,"553,709,788",554.0,4.0,1998.0
100866,,As Good as It Gets,,,,628%,47.3%,52.7%,50.0,1990's,148.0,166.0,"314,178,011",314.0,6.3,1997.0
100867,,Attack of the Clones,,,,569%,47.5%,52.5%,115.0,2000's,311.0,343.0,"653,779,970",654.0,5.7,2002.0
100868,,Austin Powers: The Spy Who Shagged Me,,,,946%,66.0%,34.0%,33.0,1990's,206.0,106.0,"312,016,928",312.0,9.5,1999.0
100869,,Avatar,,,,1233%,26.9%,73.1%,237.0,2000's,785.0,2138.0,"2,922,917,914",2923.0,12.3,2009.0
100870,,Avatar 2*,,,,772%,31.1%,68.9%,250.0,2020's,576.0,1353.0,"1,478,051,935",1930.0,7.7,2022.0
100871,,Avengers: Age of Ultron,,,,561%,32.7%,67.3%,250.0,2010's,459.0,944.0,"1,402,809,540",1403.0,5.6,2015.0
100872,,Avengers: Endgame,,,,786%,30.7%,69.3%,356.0,2010's,858.0,1939.0,"2,797,501,328",2798.0,7.9,2019.0
100873,,Avengers: Infinity War,,,,638%,33.1%,66.9%,321.0,2010's,679.0,1370.0,"2,048,359,754",2048.0,6.4,2018.0
100874,,Back to the Future,,,,2018%,55.5%,44.5%,19.0,1980's,213.0,171.0,"383,336,762",383.0,20.2,1985.0
100875,,Back to the Future II,,,,831%,35.8%,64.2%,40.0,1980's,119.0,214.0,"332,500,002",333.0,8.3,1989.0
100876,,Bad Boys for Life,,,,474%,48.4%,51.6%,90.0,2020's,206.0,220.0,"426,505,244",427.0,4.7,2020.0
100877,,Bad Grandpa,,,,1012%,67.2%,32.8%,15.0,2010's,102.0,498.0,"151,831,537",152.0,10.1,2013.0
100878,,Basic Instinct,,,,720%,33.4%,66.6%,49.0,1990's,118.0,235.0,"352,927,224",353.0,7.2,1992.0
100879,,Batman,,,,857%,61.1%,38.9%,48.0,1980's,251.0,160.0,"411,569,241",412.0,8.6,1989.0
100880,,Batman Begins,,,,249%,55.4%,44.6%,150.0,2000's,207.0,167.0,"373,672,993",374.0,2.5,2005.0
100881,,Batman Forever,,,,337%,54.7%,45.3%,100.0,1990's,184.0,152.0,"336,567,158",337.0,3.4,1995.0
100882,,Batman v Superman,,,,349%,37.8%,62.2%,250.0,2010's,330.0,543.0,"873,637,528",874.0,3.5,2016.0
100883,,Beauty and the Beast,,,,816%,38.6%,61.4%,160.0,2010's,504.0,801.0,"1,305,611,599",1306.0,8.2,2017.0
100884,,Beauty and the Beast,,,,1700%,51.5%,48.5%,25.0,1990's,219.0,206.0,"424,967,620",425.0,17.0,1991.0
100885,,Beverly Hills Cop,,,,2434%,74.2%,25.8%,13.0,1980's,235.0,82.0,"316,360,478",316.0,24.3,1984.0
100886,,Big Hero 6,,,,399%,33.8%,66.2%,165.0,2010's,223.0,435.0,"657,869,686",658.0,4.0,2014.0
100887,,Black Adam,,,,169%,43.1%,56.9%,230.0,2020's,163.0,215.0,"377,736,860",389.0,1.7,2022.0
100888,,Black Panther,,,,674%,50.7%,49.3%,205.0,2010's,700.0,682.0,"1,382,248,826",1382.0,6.7,2018.0
100889,,Black Panther: Wakanda Forever,,,,270%,54.4%,45.6%,250.0,2020's,367.0,309.0,"676,036,389",676.0,2.7,2022.0
100890,,Black Swan,,,,2534%,32.5%,67.5%,13.0,2010's,107.0,222.0,"329,398,046",329.0,25.3,2010.0
100891,,Black Widow,,,,190%,48.4%,51.6%,200.0,2020's,184.0,196.0,"379,751,655",380.0,1.9,2021.0
100892,,Blair Witch Project,,,,165333%,56.4%,43.6%,0.15,1990's,140.0,108.0,"248,000,000",248.0,1653.3,1999.0
100893,,Bohemian Rhapsody,,,,1752%,23.8%,76.2%,52.0,2010's,217.0,694.0,"910,809,311",911.0,17.5,2018.0
100894,,Bolt,,,,207%,36.8%,63.2%,150.0,2000's,114.0,196.0,"309,979,994",310.0,2.1,2008.0
100895,,Boyhood,,,,1112%,57.0%,43.0%,4.0,2010's,25.0,191.0,"44,495,281",44.0,11.1,2014.0
100896,,Brave,,,,291%,44.0%,56.0%,185.0,2010's,237.0,302.0,"538,983,207",539.0,2.9,2012.0
100897,,Breaking Dawn - Part 1,,,,561%,39.5%,60.5%,127.0,2010's,281.0,431.0,"712,205,856",712.0,5.6,2011.0
100898,,Breaking Dawn - Part 2,,,,624%,34.4%,65.6%,136.0,2010's,292.0,557.0,"848,853,382",849.0,6.2,2012.0
100899,,Bruce Almighty,,,,598%,50.1%,49.9%,81.0,2000's,243.0,242.0,"484,592,874",485.0,6.0,2003.0
100900,,Bumblebee,,,,347%,27.2%,72.8%,135.0,2010's,127.0,341.0,"467,989,645",468.0,3.5,2018.0
100901,,Call Me By Your Name,,,,1191%,43.4%,56.6%,3.5,2010's,18.0,236.0,"41,698,818",42.0,11.9,2018.0
100902,,Captain America: Civil War,,,,461%,35.4%,64.6%,250.0,2010's,408.0,745.0,"1,153,337,496",1153.0,4.6,2016.0
100903,,Captain America: The First Avenger,,,,265%,47.7%,52.3%,140.0,2010's,177.0,194.0,"370,569,774",371.0,2.6,2011.0
100904,,Captain America: The Winter Soldier,,,,420%,36.4%,63.6%,170.0,2010's,260.0,455.0,"714,421,503",714.0,4.2,2014.0
100905,,Captain Marvel,,,,742%,37.8%,62.2%,152.0,2010's,427.0,702.0,"1,128,462,972",1128.0,7.4,2019.0
100906,,Cars,,,,385%,52.8%,47.2%,120.0,2000's,244.0,218.0,"461,991,867",462.0,3.8,2006.0
100907,,Cars 2,,,,280%,34.2%,65.8%,200.0,2010's,191.0,368.0,"559,852,396",560.0,2.8,2011.0
100908,,Cars 3,,,,219%,39.8%,60.2%,175.0,2010's,153.0,231.0,"383,930,656",384.0,2.2,2017.0
